Gas Tariff ID,LDZ ID,Usage Band Min,Usage Band Max,Earliest Contract Start Date,Latest Contract Start Date,Daily Standing Charge,Monthly Standing Charge,Quarterly Standing Charge,Daily Standing Charge AMR,Monthly Standing Charge AMR,Quarterly Standing Charge AMR,Unit Rate,Pricing Start Date,Pricing End Date,,
a0b30000002jdoW,a0Z30000004RlDf,10001,36633,,,80,,,,,,1.9942,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDf,36634,73266,,,0,,,,,,2.9621,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDf,36634,73266,,,167,,,,,,1.9601,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDf,73267,109901,,,0,,,,,,2.6611,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDf,109902,146535,,,0,,,,,,2.612,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDf,146536,219803,,,0,,,,,,2.5284,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDf,219804,293071,,,0,,,,,,2.5205,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDa,1,10000,,,35,,,,,,2.0284,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDa,10001,36633,,,80,,,,,,1.9942,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDa,36634,73266,,,0,,,,,,3.0798,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDa,36634,73266,,,167,,,,,,1.9601,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDa,73267,109901,,,0,,,,,,2.7723,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDa,109902,146535,,,0,,,,,,2.7194,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDa,146536,219803,,,0,,,,,,2.6325,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDa,219804,293071,,,0,,,,,,2.6239,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlE9,1,10000,,,35,,,,,,2.0284,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlE9,10001,36633,,,80,,,,,,1.9942,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlE9,36634,73266,,,0,,,,,,2.9365,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlE9,36634,73266,,,167,,,,,,1.9601,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlE9,73267,109901,,,0,,,,,,2.6287,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlE9,109902,146535,,,0,,,,,,2.5761,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlE9,146536,219803,,,0,,,,,,2.4891,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlE9,219804,293071,,,0,,,,,,2.4806,2020-09-09T00:00:00Z,,,
a0b30000002iZJH,a0Z30000004Rl9D,1,10000,,,35,,,,,,1.9414,2020-09-09T00:00:00Z,,,
a0b30000002iZJH,a0Z30000004Rl9D,10001,36633,,,79,,,,,,1.9072,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTi,a0Z30000004Rl9D,36634,73266,,,0,,,,,,2.9481,2020-09-09T00:00:00Z,,,
